Lysergic acid diethylamide (LSD)	1950s–1960s		Marketed as a psychiatric drug; withdrawn after it became widely used recreationally. Now illegal in most of the world.
Mebanazine	1975	UK	Hepatotoxicity, drug intereaction.[3]
Methandrostenolone	1982	France, Germany, UK, US, others	Off-label abuse.[3]
Methapyrilene	1979	Germany, UK, US	Animal carcinogenicity.[3]
Methaqualone	1984	South Africa (1971), India (1984), United Nations (1971-1988)	Withdrawn because of risk of addiction and overdose[26][27]
Metipranolol	1990	UK, others	Uveitis.[3]
Metofoline	1965	US	Unspecific experimental toxicity.[3]
Mibefradil	1998	European Union, Malaysia, US, others	Fatal arrhythmia, drug interactions.[2][3]
Minaprine	1996	France	Convulsions.[3]
Moxisylyte	1993	France	Necrotic hepatitis.[3]
Muzolimine	1987	France, Germany, European Union	Polyneuropathy.[3]
Natalizumab (Tysabri)	2005–2006	US	Voluntarily withdrawn from US market because of risk of Progressive multifocal leukoencephalopathy (PML). Returned to market July, 2006.
Nefazodone	2007	US, Canada, others	Branded version withdrawn by originator in several countries in 2007 for hepatotoxicity. Generic versions available.[28]
Nialamide	1974	UK, US	Hepatotoxicity, drug intereaction.[3]
Nikethamide	1988	multiple markets	CNS Stimulation.[3]
Nitrefazole	1984	Germany	Hepatic and hematologic toxicity.[3]
Nomifensine	1981-1986	France, Germany, Spain, UK, US, others	Hemolytic Anemia, hepatotoxicity, serious hypersensitive reactions.[2][3]
Oxeladin	1976	Canada, UK, US (1976)	Carcinogenicity.[29]
Oxyphenbutazone	1984-1985	UK, US, Germany, France, Canada	Bone marrow suppression, Stevens–Johnson syndrome.[3][30][31]
Oxyphenisatin (Phenisatin)		Australia, France, Germany, UK, US	Hepatotoxicity.[3]
Ozogamicin	2010	US	No improvement in clinical benefit; risk for death; veno-occlusive disease.[2]
Pemoline (Cylert)	1997	Canada, UK	Withdrawn from US in 2005. Hepatotoxicity[32]Reason:hepatotoxicity.[3]
Pentobarbital	1980	Norway	Self poisoning.[3]
Pemoline	1982		Withdrawn for inability to produce effective convulsive therapy, and for causing seizures.
Pergolide (Permax)	2007	US	Risk for heart valve damage.[2]
Perhexilene	1985	UK, Spain	Neurologic and hepatic toxicity.[3]
Phenacetin	1975	Canada	"An ingredient in ""A.P.C."" tablet; withdrawn because of risk of cancer and kidney disease[33] Germany Denmark, UK, US, others Reason: nephropathy.[3]"
Phenformin and Buformin	1977	France, Germany US	Severe lactic acidosis[3]
Phenolphthalein	1997	US	Carcinogenicity.[34]
Phenoxypropazine	1966	UK	Hepatotoxicity, drug intereaction.[3]
Phenylbutazone	1985	Germany	Off-label abuse, hematologic toxicity.[3]
Phenylpropanolamine(Propagest, Dexatrim)	2000	Canada, US	Hemorrhagic stroke.[35][36]
Pifoxime (=Pixifenide)	1976	France	Neuropsychiatric reaction.[3]
Pirprofen	1990	France, Germany, Spain	Liver toxicity.[3][37]:223
Prenylamine	1988	Canada, France, Germany, UK, US, others	Cardiac arrythmia[38] and death.[3]
Proglumide	1989	Germany	Respiratory reaction.[3]
Pronethalol	1965	UK	Animal carcinogenicity.[3]
Propanidid	1983	UK	Allergy.[3]
Proxibarbal	1998	Spain, France, Italy, Portugal, Turkey	Immunoallergic, thrombocytopenia.[3]
Pyrovalerone	1979	France	Abuse.[3]
Rapacuronium (Raplon)	2001	US, multiple markets	Withdrawn in many countries because of risk of fatal bronchospasm[2]
Remoxipride	1993	UK, others	Aplastic anemia.[3]
Rimonabant (Acomplia)	2008	Worldwide	Risk of severe depression and suicide[12]
Rofecoxib (Vioxx)	2004	Worldwide	Withdrawn by Merck & Co. Risk of myocardial infarction and stroke[2]
Rosiglitazone (Avandia)	2010	Europe	Risk of heart attacks and death. This drug continues to be available in the US
Secobarbital		France, Norway, others.	Self poisoning.[3]
Sertindole	1998	European Union	Arrhythmia and sudden cardiac death[3][39]
Sibutramine (Reductil/Meridia)	2010	Australia, Canada, China, the European Union (EU), Hong Kong, India, Mexico, New Zealand, the Philippines, Thailand, the United Kingdom, and the United States	Increased risk of heart attack and stroke.[2]
Sitaxentan	2010	Germany	Hepatotoxicity.[12]
Sorivudine	1993	Japan	Drug interaction and deaths.[51]
Sparfloxacin	2001	US	QT prolongation and phototoxicity.[2]
Sulfacarbamide	1988	Germany	Dermatologic, hematologic and hepatic reactions.[3]
Sulfamethoxydiazine	1988	Germany	Unknown.[3]
Sulfamethoxypyridazine	1986	UK	Dermatologic and hematologic reactions.[3]
Suloctidyl	1985	Germany, France, Spain	Hepatotoxicity.[3]
Suprofen	1986-1987	UK, Spain, US	Flank pain, decreased kidney function.[2][3]
Tegaserod (Zelnorm)	2007	US	Risk for heart attack, stroke, and unstable angina.[2] Was available through a restricted access program until April 2008.
Temafloxacin	1992	Germany, UK, US, others	Low blood sugar; hemolytic anemia; kidney, liver dysfunction; allergic reactions[2][3]
Temafloxacin	1992	US	Allergic reactions and cases of hemolytic anemia, leading to three patient deaths.[2]
Temazepam (Restoril, Euhypnos, Normison, Remestan, Tenox, Norkotral)	1999	Sweden, Norway	Diversion, abuse, and a relatively high rate of overdose deaths in comparison to other drugs of its group. This drug continues to be available in most of the world including the US, but under strict controls.
Terfenadine (Seldane, Triludan)	1997-1998	France, South Africa, Oman, others, US	Prolonged QT interval; ventricular tachycardia[2][3]
Terodiline (Micturin)	1991	Germany, UK, Spain, others	Prolonged QT interval, ventricular tachycardia and arrhythmia.[3]
Tetrazepam	2013	European Union	Serious cutaneous reactions.[52]
Thalidomide	1961	Germany	Withdrawn because of risk of teratogenicity;[53]returned to market for use in leprosy and multiple myeloma under FDA orphan drug rules
Thenalidine	1960	Canada, UK, US	Neutropenia[3][54]
Thiobutabarbitone	1993	Germany	Renal insufficiency.[3]
Thioridazine (Melleril)	2005	Germany, UK	Withdrawn worldwide due to severe cardiac arrhythmias[55][56]
Ticrynafen(Tienilic acid)	1980	Germany, France, UK, US others	Liver toxicity and death.[3]
Tolcapone (Tasmar)	1998	European Union, Canada, Australia	Hepatotoxicity[3]
Tolrestat (Alredase)	1996	Argentina, Canada, Italy, others	Severe hepatotoxicity[3]
Triacetyldiphenolisatin	1971	Australia	Hepatotoxicity.[3]
Triazolam	1991	France, Netherlands, Finland, Argentina, UK others	Psychiatric adverse drug reactions, amnesia.[3][57]
Triparanol	1962	France, US	Cataracts, alopecia, ichthyosis.[3]
Troglitazone (Rezulin)	2000	US, Germany	Hepatotoxicity[2]
Trovafloxacin (Trovan)	1999-2001	European Union, US	Withdrawn because of risk of liver failure[2][3]
Valdecoxib (Bextra)	2004	US	Risk of heart attack and stroke.[2]
Vincamine	1987	Germany	Hematologic toxicity.[3]
Xenazoic acid	1965	France	Hepatotoxicity.[3]
Ximelagatran (Exanta)	2006	Germany	Hepatotoxicity[12]
Zimelidine	1983	Worldwide	Risk of Guillain–Barre syndrome, hypersensitivity reaction, hepatotoxicity[3][58][59] banned worldwide.[60]
Zomepirac	1983	UK, Germany, Spain, US	Anaphylactic reactions and non-fatal allergic reactions, renal failure[2][3]
